Stations_id, von_datum,bis_datum,Stationshoehe, geoBreite,geoLaenge ,Stationsname, Bundesland, Abgabe
5822,19751001,20241030,42,52.863,8.6989,Bassum,Niedersachsen,Frei
5825,19530701,20241030,40,52.6198,12.7867,Berge,Brandenburg,Frei
5826,19410101,20241030,41,52.6077,7.7518,Berge/Niedersachsen,Niedersachsen,Frei
5830,19690101,20210816,35,52.6151,12.5625,Damme,Brandenburg,Frei
5831,19030501,20160831,100,52.5319,8.1858,Damme/Niedersachsen,Niedersachsen,Frei
5832,19460101,19541129,50,53.1007,11.0455,Dannenberg,Niedersachsen,Frei
5833,19510101,20241030,13,53.1396,11.1165,Penkefitz,Niedersachsen,Frei
5839,19970701,20241030,0,53.3881,7.2287,Emden,Niedersachsen,Frei
5840,20060912,20241030,593,48.6663,8.4721,Enzklösterle,Baden-Württemberg,Frei
5846,19460101,20011231,115,51.6154,12.767,Falkenberg,Sachsen,Frei
5847,19251010,19761231,4,53.15,8.9333,Falkenberg/Niedersachsen,Niedersachsen,Frei
5854,19690101,20241030,24,53.6557,13.5369,Friedland,Mecklenburg-Vorpommern,Frei
5855,19310101,20241030,200,51.4333,9.9315,Friedland-Groß Schneen,Niedersachsen,Frei
5856,19970103,20241030,476,48.5451,13.3532,Fürstenzell,Bayern,Frei
5865,19690401,20051231,98,51.8493,14.5925,Grießen,Brandenburg,Frei
5866,19610101,20031231,390,47.6238,8.4108,Klettgau-Grießen,Baden-Württemberg,Frei
5869,19690101,20011231,37,53.3535,14.1492,Grünberg,Brandenburg,Frei
5870,19410101,20241030,296,50.6091,8.9909,Grünberg-Lehnheim,Hessen,Frei
5871,19981101,20241030,497,49.9463,7.2645,Hahn,Rheinland-Pfalz,Frei
5874,19690101,20021031,260,51.3665,10.1385,Heiligenstadt/-Eichsfeld,Thüringen,Frei
5875,19410101,20241030,382,49.8715,11.1662,Heiligenstadt-Neumühle,Bayern,Frei
5885,19410101,19770531,289,48.6582,9.4203,Kirchheim/Teck-Ötlingen,Baden-Württemberg,Frei
5886,19780101,20021231,331,48.6398,9.445,Kirchheim/Teck,Baden-Württemberg,Frei
5890,19410101,19910731,850,47.6777,11.0473,"Kohlgrub, Bad (A)",Bayern,Frei
5896,19690101,20031231,125,53.381,13.4949,Lichtenberg,Mecklenburg-Vorpommern,Frei
5897,19510101,20051231,575,50.3727,11.6783,Lichtenberg/Oberfranken,Bayern,Frei
5898,19490412,20050930,287,48.8943,9.2058,Ludwigsburg,Baden-Württemberg,Frei
5899,19690101,20240824,44,53.357,13.9806,"Ludwigsburg, Kr.Uckermark",Brandenburg,Frei
5901,19310101,19750831,289,48.9,9.1833,Ludwigsburg (A),Baden-Württemberg,Frei
5904,19780501,20050131,431,48.6493,11.7772,Mainburg,Bayern,Frei
5906,19360101,20241030,98,49.5063,8.5584,Mannheim,Baden-Württemberg,Frei
5912,19500101,20241030,169,51.0988,9.538,Malsfeld,Hessen,Frei
5913,19310101,19701230,166,51.1333,9.55,Melsungen (A),Hessen,Frei
5920,19500101,19970731,91,50.4485,7.4275,Neuwied,Rheinland-Pfalz,Frei
5921,19410101,19790930,125,50.4667,7.4333,Neuwied (A),Rheinland-Pfalz,Frei
5924,19710101,20040630,12,54.7336,9.1642,Nordhackstedt,Schleswig-Holstein,Frei
5925,19410101,19601230,17,54.7333,9.1667,Nordhackstedt (A),Schleswig-Holstein,Frei
5927,19510101,20240601,466,47.9327,7.9461,Oberried/Baden,Baden-Württemberg,Frei
5928,18920901,19701230,570,49.1167,13.05,Oberried,Bayern,Frei
5930,20070701,20241030,1,54.641,10.0238,Schönhagen (Ostseebad),Schleswig-Holstein,Frei
5941,18990101,20241030,686,47.6754,12.4698,Reit im Winkl,Bayern,Frei
5943,18820101,20241030,462,50.8377,14.0719,Rosenthal-Bielatal,Sachsen,Frei
5944,19310101,19931231,305,50.9833,8.8667,Rosenthal (A),Hessen,Frei
5952,19610101,20161231,105,54.22,10.7775,Schönwalde/Holstein-Langenhagen,Schleswig-Holstein,Frei
5953,19690101,20100831,33,52.6008,13.1397,Schönwalde,Brandenburg,Frei
5958,19460201,20021031,510,50.4357,11.155,Steinach/Thüringen,Thüringen,Frei
5959,19310101,20241030,331,48.9572,12.606,Steinach,Bayern,Frei
5960,19471231,20241030,31,52.6069,11.88,Stendal,Sachsen-Anhalt,Frei
5961,20200817,20241030,32,52.5808,11.7871,Tornau bei Stendal,Sachsen-Anhalt,
5962,19910101,20051231,96,51.4262,13.7326,Tettau,Brandenburg,Frei
5963,19710101,19941130,578,50.4516,11.2647,Tettau (A),Bayern,Frei
5969,19460901,19971231,295,50.9269,11.8771,Weißenborn,Thüringen,Frei
5970,19510101,19951130,290,51.1333,10.1167,Weißenborn (A),Hessen,Frei
5971,19510101,19630228,510,48.8787,9.6342,Welzheim (A),Baden-Württemberg,Frei
5972,19310101,20000630,485,48.8709,9.6436,Welzheim,Baden-Württemberg,Frei
5979,19460901,19950731,485,50.6333,11.55,Wilhelmsdorf (A),Thüringen,Frei
5980,18980601,20031231,619,47.8633,9.4231,Wilhelmsdorf,Baden-Württemberg,Frei
5983,19690101,20241030,43,52.2616,13.616,Zeesen,Brandenburg,Frei
5985,20180109,20241030,386,48.652,9.6232,"Boll, Bad (Kläranlage)",Baden-Württemberg,Frei
5986,20180523,20241030,329,48.745,8.7301,Calw-Hirsau,Baden-Württemberg,Frei
